Quarter,Sex,Sector,Employment
2024 Q3,Female,Agriculture,16.4
2024 Q3,Male,Agriculture,96.5
2024 Q3,Female,Construction,16.1
2024 Q3,Male,Construction,160.1
2024 Q3,Female,Education,166.4
2024 Q3,Male,Education,61.7
2024 Q3,Female,Financial & Insurance,68.4
2024 Q3,Male,Financial & Insurance,68.7
2024 Q3,Female,Human Health & Social Work,290.2
2024 Q3,Male,Human Health & Social Work,89.0
2024 Q3,Female,Industry,113.6
2024 Q3,Male,Industry,229.4
2024 Q3,Female,Information & Communication,62.4
2024 Q3,Male,Information & Communication,126.2
2024 Q3,Female,Professional & Scientific,93.7
2024 Q3,Male,Professional & Scientific,108.5
2024 Q3,Female,Public Admin & Defence,82.8
2024 Q3,Male,Public Admin & Defence,70.7
2024 Q3,Female,Transport & Storage,24.8
2024 Q3,Male,Transport & Storage,93.6
2024 Q3,Female,Wholesale & Retail,160.5
2024 Q3,Male,Wholesale & Retail,163.0
2024 Q4,Female,Accommodation & Food,96.1
2024 Q4,Male,Accommodation & Food,88.3
2024 Q4,Female,Admin & Support,40.9
2024 Q4,Male,Admin & Support,59.2
2024 Q4,Female,Agriculture,16.5
2024 Q4,Male,Agriculture,91.3
2024 Q4,Female,Construction,18.0
2024 Q4,Male,Construction,158.0
2024 Q4,Female,Education,176.6
2024 Q4,Male,Education,63.2
2024 Q4,Female,Financial & Insurance,71.0
2024 Q4,Male,Financial & Insurance,70.5
2024 Q4,Female,Human Health & Social Work,292.9
2024 Q4,Male,Human Health & Social Work,89.6
2024 Q4,Female,Industry,106.6
2024 Q4,Male,Industry,225.8
2024 Q4,Female,Information & Communication,63.5
2024 Q4,Male,Information & Communication,119.4
2024 Q4,Female,Professional & Scientific,93.7
2024 Q4,Male,Professional & Scientific,104.8
2024 Q4,Female,Public Admin & Defence,81.8
2024 Q4,Male,Public Admin & Defence,69.6
2024 Q4,Female,Transport & Storage,23.2
2024 Q4,Male,Transport & Storage,98.6
2024 Q4,Female,Wholesale & Retail,159.7
2024 Q4,Male,Wholesale & Retail,166.8
