Quarter,Region,Sector,Employment
2022 Q4,South-East,Wholesale & Retail,24.1
2022 Q4,South-West,Accommodation & Food,29.8
2022 Q4,South-West,Admin & Support,13.7
2022 Q4,South-West,Agriculture,18.7
2022 Q4,South-West,Construction,23.7
2022 Q4,South-West,Education,30.9
2022 Q4,South-West,Financial & Insurance,11.3
2022 Q4,South-West,Human Health & Social Work,49.1
2022 Q4,South-West,Industry,59.8
2022 Q4,South-West,Information & Communication,20.0
2022 Q4,South-West,Professional & Scientific,22.1
2022 Q4,South-West,Public Admin & Defence,15.4
2022 Q4,South-West,Transport & Storage,11.3
2022 Q4,South-West,Wholesale & Retail,51.0
2022 Q4,West,Accommodation & Food,17.5
2022 Q4,West,Admin & Support,7.3
2022 Q4,West,Agriculture,13.4
2022 Q4,West,Construction,17.2
2022 Q4,West,Education,16.2
2022 Q4,West,Financial & Insurance,7.1
2022 Q4,West,Human Health & Social Work,37.1
2022 Q4,West,Industry,38.8
2022 Q4,West,Information & Communication,9.9
2022 Q4,West,Professional & Scientific,12.6
2022 Q4,West,Public Admin & Defence,11.0
2022 Q4,West,Transport & Storage,9.4
2022 Q4,West,Wholesale & Retail,35.6
2023 Q1,Border,Accommodation & Food,13.9
2023 Q1,Border,Admin & Support,7.6
2023 Q1,Border,Agriculture,17.5
2023 Q1,Border,Construction,15.5
2023 Q1,Border,Education,20.1
2023 Q1,Border,Financial & Insurance,5.3
2023 Q1,Border,Human Health & Social Work,32.7
2023 Q1,Border,Industry,28.4
2023 Q1,Border,Information & Communication,4.9
2023 Q1,Border,Professional & Scientific,10.3
2023 Q1,Border,Public Admin & Defence,11.4
2023 Q1,Border,Transport & Storage,7.3
2023 Q1,Border,Wholesale & Retail,20.7
2023 Q1,Dublin,Accommodation & Food,50.5
2023 Q1,Dublin,Admin & Support,43.9
2023 Q1,Dublin,Construction,35.1
2023 Q1,Dublin,Education,62.4
2023 Q1,Dublin,Financial & Insurance,69.5
2023 Q1,Dublin,Human Health & Social Work,102.0
2023 Q1,Dublin,Industry,60.1
2023 Q1,Dublin,Information & Communication,90.8
2023 Q1,Dublin,Professional & Scientific,64.4
2023 Q1,Dublin,Public Admin & Defence,42.4
2023 Q1,Dublin,Transport & Storage,42.5
2023 Q1,Dublin,Wholesale & Retail,89.0
2023 Q1,Mid-East,Accommodation & Food,19.6
2023 Q1,Mid-East,Admin & Support,17.1
2023 Q1,Mid-East,Agriculture,8.4
2023 Q1,Mid-East,Construction,29.0
2023 Q1,Mid-East,Education,30.9
2023 Q1,Mid-East,Financial & Insurance,23.8
2023 Q1,Mid-East,Human Health & Social Work,46.6
2023 Q1,Mid-East,Industry,49.8
2023 Q1,Mid-East,Information & Communication,22.9
2023 Q1,Mid-East,Professional & Scientific,25.6
2023 Q1,Mid-East,Public Admin & Defence,25.0
2023 Q1,Mid-East,Transport & Storage,18.5
2023 Q1,Mid-East,Wholesale & Retail,51.6
2023 Q1,Mid-West,Accommodation & Food,17.8
2023 Q1,Mid-West,Admin & Support,11.9
2023 Q1,Mid-West,Agriculture,15.9
2023 Q1,Mid-West,Construction,14.9
2023 Q1,Mid-West,Education,19.7
2023 Q1,Mid-West,Financial & Insurance,6.0
2023 Q1,Mid-West,Human Health & Social Work,32.5
2023 Q1,Mid-West,Industry,44.6
2023 Q1,Mid-West,Information & Communication,8.7
2023 Q1,Mid-West,Professional & Scientific,12.9
2023 Q1,Mid-West,Public Admin & Defence,14.2
2023 Q1,Mid-West,Transport & Storage,9.1
2023 Q1,Mid-West,Wholesale & Retail,28.0
2023 Q1,Midland,Accommodation & Food,8.2
2023 Q1,Midland,Agriculture,11.2
2023 Q1,Midland,Construction,11.7
2023 Q1,Midland,Education,11.1
2023 Q1,Midland,Human Health & Social Work,24.3
2023 Q1,Midland,Industry,22.7
2023 Q1,Midland,Information & Communication,7.5
2023 Q1,Midland,Professional & Scientific,8.4
2023 Q1,Midland,Public Admin & Defence,12.4
2023 Q1,Midland,Transport & Storage,6.3
2023 Q1,Midland,Wholesale & Retail,22.8
2023 Q1,South-East,Accommodation & Food,15.1
